frame_id,lat,lng,alt_m,heading
89,50.375678,-4.137911,100,45
90,50.37568,-4.13791,100,45
91,50.375682000000005,-4.137909,100,45
92,50.375684,-4.1379079999999995,100,45
93,50.375686,-4.137907,100,45
94,50.375688000000004,-4.137906,100,45
95,50.375690000000006,-4.137905,100,45
96,50.375692,-4.137904,100,45
97,50.375694,-4.137903,100,45
98,50.375696000000005,-4.1379019999999995,100,45
99,50.375698,-4.137901,100,45
100,50.3757,-4.1379,100,45
101,50.375702000000004,-4.137899,100,45
102,50.375704,-4.137898,100,45
103,50.375706,-4.137897,100,45
104,50.375708,-4.137896,100,45
105,50.375710000000005,-4.137895,100,45
106,50.375712,-4.137894,100,45
107,50.375714,-4.137893,100,45
108,50.375716000000004,-4.137892,100,45
109,50.375718,-4.137891,100,45
110,50.37572,-4.13789,100,45
111,50.375722,-4.1378889999999995,100,45
112,50.375724000000005,-4.137888,100,45
113,50.375726,-4.137887,100,45
114,50.375728,-4.137886,100,45
115,50.375730000000004,-4.137885,100,45
116,50.375732,-4.137884,100,45
117,50.375734,-4.1378829999999995,100,45
118,50.375736,-4.137882,100,45
119,50.375738000000005,-4.137881,100,45
120,50.37574,-4.13788,100,45
121,50.375742,-4.137879,100,45
122,50.375744000000005,-4.137878,100,45
123,50.375746,-4.137877,100,45
124,50.375748,-4.137876,100,45
125,50.375750000000004,-4.137875,100,45
126,50.375752000000006,-4.137874,100,45
127,50.375754,-4.137873,100,45
128,50.375756,-4.137872,100,45
129,50.375758000000005,-4.137871,100,45
130,50.37576,-4.1378699999999995,100,45
131,50.375762,-4.137869,100,45
132,50.375764000000004,-4.137868,100,45
133,50.375766000000006,-4.137867,100,45
134,50.375768,-4.137866,100,45
135,50.37577,-4.137865,100,45
136,50.375772000000005,-4.1378639999999995,100,45
137,50.375774,-4.137863,100,45
138,50.375776,-4.137862,100,45
139,50.375778000000004,-4.137861,100,45
140,50.37578,-4.13786,100,45
141,50.375782,-4.137859,100,45
142,50.375784,-4.137858,100,45
143,50.375786000000005,-4.137857,100,45
144,50.375788,-4.137856,100,45
145,50.37579,-4.137855,100,45
146,50.375792000000004,-4.137854,100,45
147,50.375794,-4.137853,100,45
148,50.375796,-4.137852,100,45
149,50.375798,-4.1378509999999995,100,45
150,50.375800000000005,-4.13785,100,45
151,50.375802,-4.137849,100,45
152,50.375804,-4.137848,100,45
153,50.375806000000004,-4.137847,100,45
154,50.375808,-4.137846,100,45
155,50.37581,-4.1378449999999996,100,45
156,50.375812,-4.137844,100,45
157,50.375814000000005,-4.137843,100,45
158,50.375816,-4.137842,100,45
159,50.375818,-4.137841,100,45
160,50.375820000000004,-4.13784,100,45
161,50.375822,-4.137839,100,45
162,50.375824,-4.1378379999999995,100,45
163,50.375826,-4.137837,100,45
164,50.375828000000006,-4.137836,100,45
165,50.37583,-4.137835,100,45
166,50.375832,-4.137834,100,45
167,50.375834000000005,-4.137833,100,45
168,50.375836,-4.1378319999999995,100,45
169,50.375838,-4.137831,100,45
170,50.375840000000004,-4.13783,100,45
171,50.375842000000006,-4.137829,100,45
172,50.375844,-4.137828,100,45
173,50.375846,-4.137827,100,45
174,50.375848000000005,-4.137826,100,45
175,50.37585,-4.137825,100,45
176,50.375852,-4.137824,100,45
177,50.375854000000004,-4.137823,100,45
178,50.375856,-4.137822,100,45
179,50.375858,-4.137821,100,45
180,50.37586,-4.13782,100,45
181,50.375862000000005,-4.1378189999999995,100,45
182,50.375864,-4.137818,100,45
183,50.375866,-4.137817,100,45
184,50.375868000000004,-4.137816,100,45
185,50.37587,-4.137815,100,45
186,50.375872,-4.137814,100,45
187,50.375874,-4.1378129999999995,100,45
188,50.375876000000005,-4.137812,100,45
189,50.375878,-4.137811,100,45
190,50.37588,-4.13781,100,45
191,50.375882000000004,-4.137809,100,45
192,50.375884,-4.137808,100,45
193,50.375886,-4.137807,100,45
194,50.375888,-4.137806,100,45
195,50.375890000000005,-4.137805,100,45
196,50.375892,-4.137804,100,45
197,50.375894,-4.137803,100,45
198,50.375896000000004,-4.137802,100,45
199,50.375898,-4.137801,100,45
200,50.3759,-4.1377999999999995,100,45
201,50.375902,-4.137799,100,45
202,50.375904000000006,-4.137798,100,45
203,50.375906,-4.137797,100,45
204,50.375908,-4.137796,100,45
205,50.375910000000005,-4.137795,100,45
206,50.375912,-4.1377939999999995,100,45
207,50.375914,-4.137793,100,45
208,50.375916000000004,-4.137792,100,45
209,50.375918000000006,-4.137791,100,45
210,50.37592,-4.13779,100,45
211,50.375922,-4.137789,100,45
212,50.375924000000005,-4.137788,100,45
213,50.375926,-4.137787,100,45
214,50.375928,-4.137786,100,45
215,50.375930000000004,-4.137785,100,45
216,50.375932000000006,-4.137784,100,45
217,50.375934,-4.137783,100,45
218,50.375936,-4.137782,100,45
219,50.375938000000005,-4.1377809999999995,100,45
220,50.37594,-4.13778,100,45
221,50.375942,-4.137779,100,45
222,50.375944000000004,-4.137778,100,45
223,50.375946,-4.137777,100,45
224,50.375948,-4.137776,100,45
225,50.37595,-4.1377749999999995,100,45
226,50.375952000000005,-4.137774,100,45
227,50.375954,-4.137773,100,45
228,50.375956,-4.137772,100,45
229,50.375958000000004,-4.137771,100,45
230,50.37596,-4.13777,100,45
231,50.375962,-4.137769,100,45
232,50.375964,-4.137768,100,45
233,50.375966000000005,-4.137767,100,45
234,50.375968,-4.137766,100,45
235,50.37597,-4.137765,100,45
236,50.375972000000004,-4.137764,100,45
237,50.375974,-4.137763,100,45
238,50.375976,-4.1377619999999995,100,45
239,50.375978,-4.137761,100,45
240,50.375980000000006,-4.13776,100,45
241,50.375982,-4.137759,100,45
242,50.375984,-4.137758,100,45
243,50.375986000000005,-4.137757,100,45
244,50.375988,-4.1377559999999995,100,45
245,50.37599,-4.137755,100,45
246,50.375992000000004,-4.137754,100,45
247,50.375994000000006,-4.137753,100,45
248,50.375996,-4.137752,100,45
249,50.375998,-4.137751,100,45
250,50.376000000000005,-4.13775,100,45
251,50.376002,-4.137749,100,45
252,50.376004,-4.137748,100,45
253,50.376006000000004,-4.137747,100,45
254,50.376008000000006,-4.137746,100,45
255,50.37601,-4.137745,100,45
256,50.376012,-4.137744,100,45
257,50.376014000000005,-4.1377429999999995,100,45
258,50.376016,-4.137742,100,45
259,50.376018,-4.137741,100,45
260,50.376020000000004,-4.13774,100,45
261,50.376022,-4.137739,100,45
262,50.376024,-4.137738,100,45
263,50.376026,-4.1377369999999996,100,45
264,50.376028000000005,-4.137736,100,45
265,50.37603,-4.137735,100,45
266,50.376032,-4.137734,100,45
267,50.376034000000004,-4.137733,100,45
268,50.376036,-4.137732,100,45
269,50.376038,-4.137731,100,45
270,50.37604,-4.1377299999999995,100,45
271,50.376042000000005,-4.137729,100,45
272,50.376044,-4.137728,100,45
273,50.376046,-4.137727,100,45
274,50.376048000000004,-4.137726,100,45
275,50.37605,-4.137725,100,45
276,50.376052,-4.1377239999999995,100,45
277,50.376054,-4.137723,100,45
278,50.376056000000005,-4.137722,100,45
279,50.376058,-4.137721,100,45
280,50.37606,-4.13772,100,45
281,50.376062000000005,-4.137719,100,45
282,50.376064,-4.137718,100,45
283,50.376066,-4.137717,100,45
284,50.376068000000004,-4.137716,100,45
285,50.376070000000006,-4.137715,100,45
286,50.376072,-4.137714,100,45
287,50.376074,-4.137713,100,45
288,50.376076000000005,-4.137712,100,45
289,50.376078,-4.1377109999999995,100,45
290,50.37608,-4.13771,100,45
291,50.376082000000004,-4.137709,100,45
292,50.376084000000006,-4.137708,100,45
293,50.376086,-4.137707,100,45
294,50.376088,-4.137706,100,45
295,50.376090000000005,-4.1377049999999995,100,45
296,50.376092,-4.137704,100,45
297,50.376094,-4.137703,100,45
